incident_num,offense,date,street,lat,long,district,shooting,weekday,hour
202024984,BURGLARY - COMMERICAL,2020-04-04,CONGRESS ST,42.3613941253574,-71.0576868952242,A1,0,Saturday,12
202030382,VANDALISM,2020-04-30,COLUMBUS AVE,42.313627985895,-71.0956030724389,E13,0,Thursday,13
202014732,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,2020-02-23,NEW SUDBURY ST,42.3618385665647,-71.0597648909416,A1,0,Sunday,13
202018334,ROBBERY,2020-03-06,BOW ST,42.2441067895853,-71.1178634502188,E18,0,Friday,23
202015167,LARCENY THEFT FROM BUILDING,2020-02-23,SPENCER ST,42.2848257658049,-71.091373689388,B3,0,Sunday,23
202016519,LARCENY SHOPLIFTING,2020-02-29,WASHINGTON ST,42.2758179916097,-71.1399125925088,E5,0,Saturday,17
202036926,INVESTIGATE PERSON,2020-05-28,CORTES ST,42.3482769757336,-71.0703893239934,A1,0,Thursday,20
202013202,BURGLARY - RESIDENTIAL,2020-02-17,OLD COLONY AVE,42.3255739819077,-71.0524812959396,C6,0,Monday,7
202020450,LARCENY THEFT FROM BUILDING,2020-03-14,WASHINGTON ST,42.2975553295965,-71.0597091024257,C11,0,Saturday,13
202018156,ASSAULT - SIMPLE,2020-03-06,SARATOGA ST,42.3786481877638,-71.0308923840963,A7,0,Friday,13
202023908,MISSING PERSON,2020-02-29,W NEWTON ST,42.3395419898301,-71.0694087696754,D4,0,Saturday,12
202033194,LARCENY THEFT FROM MV - NON-ACCESSORY,2020-05-11,S HUNTINGTON AVE,42.3295524545692,-71.1111242876834,E13,0,Monday,21
202032116,INVESTIGATE PERSON,2020-05-08,CITY HALL PLZ,42.3597213648541,-71.0585236011413,A1,0,Friday,10
202033253,SICK ASSIST,2020-05-13,DORCHESTER AVE,42.2871786290865,-71.0639066787232,C11,0,Wednesday,16
202031267,PROPERTY - LOST/ MISSING,2020-05-04,HIAWATHA RD,42.2768375424796,-71.0952644007575,B3,0,Monday,0
202033301,VANDALISM,2020-05-13,WALES ST,42.297520972793,-71.0850229144802,B3,0,Wednesday,21
202025144,VERBAL DISPUTE,2020-04-05,CUMMINS HWY,42.2733267767667,-71.1082911494838,E18,0,Sunday,9
202037345,VERBAL DISPUTE,2020-05-30,TREMONT ST,42.3542837724149,-71.0638040374747,A1,0,Saturday,10
202004560,ASSAULT - AGGRAVATED,2020-01-17,1ST AVE,42.2975553295965,-71.0597091024257,A15,0,Friday,0
202041870,VAL - VIOLATION OF AUTO LAW,2020-06-15,MOUNT HOPE STREET,42.2839314515063,-71.1173312590475,E18,0,Monday,16
202033307,INVESTIGATE PERSON,2020-05-07,HUDSON ST,42.3497640160722,-71.0604507642012,A1,0,Thursday,14
202017537,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,2020-03-04,NEW SUDBURY ST,42.3552162482694,-71.0601286346912,A1,0,Wednesday,11
202017868,INVESTIGATE PERSON,2020-03-05,GLENMONT RD,42.3458896649735,-71.1602325738449,D14,0,Thursday,12
202001149,TOWED MOTOR VEHICLE,2020-01-05,TALBOT AVE,42.2919696117486,-71.0779550856281,B3,0,Sunday,10
202017039,VANDALISM,2020-03-02,SCHOOL ST,42.3575461992396,-71.0588195319583,A1,0,Monday,16
202028927,M/V - LEAVING SCENE - PROPERTY DAMAGE,2020-04-22,PAUL GORE ST,42.3097185676727,-71.1042943178765,E13,0,Wednesday,15
202004534,INVESTIGATE PERSON,2020-01-17,SARATOGA ST,42.3762888819129,-71.0372004783686,A7,0,Friday,14
202022624,LICENSE PREMISE VIOLATION,2020-03-24,SUMMER ST,42.3552162482694,-71.0601286346912,A1,0,Tuesday,13
202041710,TOWED MOTOR VEHICLE,2020-06-15,HOMESTEAD ST,42.3134221481348,-71.0934897520459,B2,0,Monday,7
202000511,PROPERTY - LOST/ MISSING,2020-01-02,MAVERICK ST,42.3711720813659,-71.0412748487871,A7,0,Thursday,19
202008324,ASSAULT - SIMPLE,2020-01-31,CENTRE ST,42.2945162720552,-71.0587540323303,C11,0,Friday,12
202011075,TRESPASSING,2020-02-10,WINTER ST,42.3560237338871,-71.0617761514159,A1,0,Monday,11
202003501,LARCENY THEFT FROM MV - NON-ACCESSORY,2020-01-13,SCHOOL ST,42.3134456723444,-71.0977564136765,E13,0,Monday,21
202018120,VANDALISM,2020-03-06,COMMONWEALTH AVE,42.3490560003051,-71.1504984997502,D14,0,Friday,11
202019895,LARCENY SHOPLIFTING,2020-03-12,COLUMBIA RD,42.3151966451042,-71.0667838725257,B2,0,Thursday,15
202021323,LARCENY THEFT OF MV PARTS & ACCESSORIES,2020-03-18,ESTEY ST,42.3278679700779,-71.1077682417051,B2,0,Wednesday,15
202019937,ASSAULT - SIMPLE,2020-03-12,BUNKER HILL ST,42.3782400373671,-71.0604344032647,A15,0,Thursday,17
